kernel,N,d,H,w,G,causal,ms_median,ms_min,ms_max,mem_mb
dense,1024,128,16,128,0,0,12.5999,12.5800,12.6955,34.00
dense,2048,128,16,128,0,0,47.1337,47.1012,47.2414,66.00
dense,4096,128,16,128,0,0,187.5401,187.4384,187.6237,130.00
dense,8192,128,16,128,0,0,737.6132,737.4711,737.9175,258.00
dense_fp16,1024,128,16,128,0,0,2.8356,2.8259,2.8709,34.00
dense_fp16,2048,128,16,128,0,0,10.6868,10.5550,10.7374,66.00
dense_fp16,4096,128,16,128,0,0,49.0985,49.0663,49.1963,130.00
dense_fp16,8192,128,16,128,0,0,194.8930,194.8130,195.0339,258.00
dense_fp16,16384,128,16,128,0,0,782.3068,781.4953,782.9715,514.00
