mode,N,H,d_head,d_model,ms_median,ms_min,ms_max
sdpa_fp16_layer,1024,16,128,2048,0.838047981262207,0.8335360288619995,0.8458240032196045
sdpa_fp16_layer,2048,16,128,2048,2.1670401096343994,2.158143997192383,2.174623966217041
sdpa_fp16_layer,4096,16,128,2048,6.444896221160889,6.312320232391357,6.495296001434326
sdpa_fp16_layer,8192,16,128,2048,21.281312942504883,21.245567321777344,21.338144302368164
sdpa_fp16_layer,16384,16,128,2048,77.45734405517578,77.33039855957031,79.0489273071289
ours_windowed_fp16_layer,1024,16,128,2048,4.877664089202881,4.86787223815918,4.894720077514648
ours_windowed_fp16_layer,2048,16,128,2048,9.674976348876953,9.664511680603027,9.71183967590332
ours_windowed_fp16_layer,4096,16,128,2048,19.283935546875,19.26348876953125,19.300479888916016
ours_windowed_fp16_layer,8192,16,128,2048,36.962303161621094,36.933631896972656,36.97868728637695
ours_windowed_fp16_layer,16384,16,128,2048,72.34969329833984,72.25299072265625,73.6174087524414
ours_dense_fp16_layer,1024,16,128,2048,6.113311767578125,6.078464031219482,6.127615928649902
ours_dense_fp16_layer,2048,16,128,2048,17.012863159179688,16.813119888305664,17.19491195678711
ours_dense_fp16_layer,4096,16,128,2048,61.720577239990234,61.57484817504883,61.82944107055664
ours_dense_fp16_layer,8192,16,128,2048,217.1091766357422,216.87091064453125,217.15968322753906
ours_dense_fp16_layer,16384,16,128,2048,821.127197265625,820.5230102539062,821.3186645507812
