timestamp,host,gpu_model,kernel,N,d,H,B,rho_requested,rho_achieved,nnz,causal,ms_median,ms_min,ms_max,sweep
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,512,64,16,64,0.10,0.1562,10,0,0.1776,0.1747,0.1786,N
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,1024,64,16,64,0.10,0.0898,23,0,0.2946,0.2871,0.2964,N
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,2048,64,16,64,0.10,0.0938,96,0,0.9745,0.9621,0.9878,N
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,0.10,0.0996,408,0,3.5698,3.5527,3.5881,N
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,8192,64,16,64,0.10,0.1012,1658,0,13.8067,13.7660,13.8292,N
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,0.025,0.0251,103,0,1.0559,1.0484,1.0620,rho
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,0.05,0.0515,211,0,1.9553,1.9455,1.9769,rho
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,0.10,0.0996,408,0,3.5700,3.5631,3.6107,rho
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,0.25,0.2517,1031,0,8.6348,8.6112,8.6948,rho
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,0.50,0.5020,2056,0,16.8958,16.8219,16.9191,rho
2026-05-16T00:00:00Z,hpcc-gpu-5-1,Quadro RTX 6000,blocksparse,4096,64,16,64,1.00,1.0000,4096,0,34.8164,34.6628,34.8554,rho
