mode,N,H,d_head,d_model,ms_median,ms_min,ms_max
sdpa_fp16_layer,1024,16,128,2048,0.8389120101928711,0.8279039859771729,0.8499199748039246
sdpa_fp16_layer,2048,16,128,2048,2.164736032485962,2.159264087677002,2.1725759506225586
sdpa_fp16_layer,4096,16,128,2048,6.445727825164795,6.4331841468811035,6.501344203948975
sdpa_fp16_layer,8192,16,128,2048,21.282623291015625,21.236127853393555,21.304576873779297
sdpa_fp16_layer,16384,16,128,2048,77.49427032470703,77.10774230957031,77.53734588623047
ours_windowed_fp16_layer,1024,16,128,2048,2.353856086730957,2.3393919467926025,2.3674240112304688
ours_windowed_fp16_layer,2048,16,128,2048,4.650464057922363,4.641024112701416,4.6650238037109375
ours_windowed_fp16_layer,4096,16,128,2048,9.271712303161621,9.252863883972168,9.279840469360352
ours_windowed_fp16_layer,8192,16,128,2048,18.448511123657227,18.422176361083984,18.466815948486328
ours_windowed_fp16_layer,16384,16,128,2048,36.3454704284668,36.30255889892578,36.387359619140625
ours_dense_fp16_layer,1024,16,128,2048,3.554080009460449,3.545919895172119,3.566175937652588
ours_dense_fp16_layer,2048,16,128,2048,12.119584083557129,11.844351768493652,12.435456275939941
ours_dense_fp16_layer,4096,16,128,2048,51.60140609741211,51.477088928222656,51.688480377197266
ours_dense_fp16_layer,8192,16,128,2048,198.57801818847656,198.3937225341797,198.7667236328125
ours_dense_fp16_layer,16384,16,128,2048,784.7774658203125,784.0586547851562,785.348388671875
